**********TEST ON************************Sun Also Rises**************('[0.9999246]', 'book i ? 1 ? ? was once ? ? ? of ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99860984]', 'do not think that i am very much impressed by that as a ? title but it meant a lot to ? ? ? ?')
('[2.8669834e-05]', 'he learned it painfully and thoroughly to ? the feeling of ? and shyness he had felt on being treated as a jew at ?')
('[0.00341257]', 'could knock down anybody who was ? to him although being very shy and a thoroughly nice boy he never fought except in the ?')
('[2.8669834e-05]', 'he was ? ? star pupil ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? taught all his young gentlemen to box like ? no matter whether they ? one hundred and five or two hundred and five pounds')
('[4.1157007e-05]', 'but it seemed to fit ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he was really very fast ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he was so good that ? promptly ? him and got his nose ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.943941e-05]', 'this increased ? ? for ? but it gave him a certain satisfaction of some strange sort and it certainly ? his nose ? ?')
('[0.9372498]', 'in his last year at ? he read too much and took to wearing spectacles ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i never met any one of his class who remembered him ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.681681e-05]', 'they did not even remember that he was ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99810505]', 'seen something or that he had maybe ? into something as a young child but i finally had somebody ? the story from ? ?')
('[0.18742159]', '? ? not only remembered ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he had often wondered what had become of him ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.622097]', 'was a ? through his father of one of the ? jewish families in new york and through his mother of one of the ?')
('[0.00783637]', 'the military school where he ? for ? and played a very good end on the football team no one had made him race conscious')
('[4.4822693e-05]', 'no one had ever made him feel he was a jew and ? any different from anybody else until he went to ? ? ?')
('[2.8669834e-05]', 'he was a nice boy a friendly boy and very shy and it made him bitter ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he came out of ? with painful self consciousness and the ? nose and was married by the first girl who was nice to him')
('[0.00012359]', 'rich wife and just when he had made up his mind to leave his wife she left him and went off with a ? painter')
('[1.7940998e-05]', 'his wife and had not done it because it would be too cruel to ? her of himself her departure was a very ? shock')
('[0.00783637]', 'the ? was ? and ? ? went out to the coast ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9643196]', 'people and as he still had a little of the fifty thousand left in a short time he was backing a ? of the arts')
('[0.00783637]', 'the ? ? ? in ? california and finished in ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9806812]', 'as an angel and whose name had appeared on the ? page merely as a ? of the ? board had become the sole editor')
('[2.5957823e-05]', 'it was his money and he discovered he liked the authority of ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he was sorry when the ? became too expensive and he had to give it up ? ? ? ? ? ? ? ? ?')
('[0.9998874]', 'by that time though he had other things to worry about ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he had been taken in hand by a lady who hoped to rise with the ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she was very ? and ? never had a chance of not being taken in hand ? ? ? ? ? ? ? ? ?')
('[0.9944295]', 'also he was sure that he loved her ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.94989705]', 'well get what there was to get while there was still something available so she urged that they go to europe where ? could write')
('[6.681681e-05]', 'they came to europe where the lady had been ? and stayed three years ? ? ? ? ? ? ? ? ? ? ?')
('[2.527237e-05]', 'during these three years the first spent in travel the last two in paris ? ? had two friends ? and myself ? ? ?')
('[0.18742159]', '? was his literary friend ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i was his ? friend ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99798894]', 'looks were going and her attitude toward ? changed from one of careless possession and ? to the ? determination that he should marry her')
('[2.527237e-05]', 'during this time ? mother had settled an ? on him about three hundred dollars a month ? ? ? ? ? ? ? ?')
('[2.527237e-05]', 'during two years and a half i do not believe that ? ? looked at another woman ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he was fairly happy except that like many people living in europe he would rather have been in america and he had discovered writing ?')
('[0.99481964]', 'wrote a novel and it was not really such a bad novel as the critics later called it although it was a very poor novel')
('[2.8669834e-05]', 'he read many books played bridge played ? and boxed at a local ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i first became aware of his ? attitude toward him one night after the three of us had dined together ? ? ? ? ?')
('[0.00048298]', 'we had dined at ? and afterward went to the ? de ? for coffee ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we had several ? after the coffee and i said i must be going ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? had been talking about the two of us going off somewhere on a ? trip ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he wanted to get out of town and get in a good walk ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i suggested we fly to ? and walk up to saint ? or somewhere or other in ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i know a girl in ? who can show us the town ” i said ? ? ? ? ? ? ? ? ? ?')
('[0.999642]', 'somebody kicked me under the table ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i thought it was ? and went on ? been there two years and knows everything there is to know about the town ? ?')
('[0.18742159]', '? a swell girl ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” i was kicked again under the table and looking saw ? ? lady her chin lifting and her face ? ? ? ? ?')
('[0.18742159]', '? ” i said “why go to ? we could go up to ? or to the ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? looked relieved ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i was not kicked again ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
